"ANNEE","C_REGION","L_REGION","C_DEPT","N_DEPT","C_TYP_REG_DECHET","L_TYP_REG_DECHET","TONNAGE_T","VA_POPANNEE","RATIO_KG_HAB"
"2009","32","Hauts-de-France","02","Aisne","08D","Déchets de produits alimentaires",4096.22,539870,7.59
"2009","32","Hauts-de-France","59","Nord","08A","Ordures ménagères résiduelles",703943.78,2571940,273.7
"2009","32","Hauts-de-France","59","Nord","08B","Emballages, journaux-magazines",224536.97,2571940,87.3
"2009","32","Hauts-de-France","59","Nord","08C","Verre",74965.97,2571940,29.15
"2009","32","Hauts-de-France","59","Nord","08D","Déchets de produits alimentaires",8100,2571940,3.15
"2009","32","Hauts-de-France","60","Oise","08A","Ordures ménagères résiduelles",247999.08,801512,309.41
"2009","32","Hauts-de-France","60","Oise","08B","Emballages, journaux-magazines",36387,801512,45.4
"2009","32","Hauts-de-France","60","Oise","08C","Verre",22945.62,801512,28.63
"2009","32","Hauts-de-France","62","Pas-de-Calais","08A","Ordures ménagères résiduelles",452536.48,1461257,309.69
"2009","32","Hauts-de-France","62","Pas-de-Calais","08B","Emballages, journaux-magazines",93123.64,1461257,63.73
"2009","32","Hauts-de-France","62","Pas-de-Calais","08C","Verre",67304.74,1461257,46.06
"2009","32","Hauts-de-France","80","Somme","08A","Ordures ménagères résiduelles",178898.55,569775,313.98
"2009","32","Hauts-de-France","80","Somme","08B","Emballages, journaux-magazines",27437.32,569775,48.15
"2009","32","Hauts-de-France","80","Somme","08C","Verre",23010.68,569775,40.39
"2009","32","Hauts-de-France","80","Somme","08D","Déchets de produits alimentaires",2427,569775,4.26
"2009","11","Ile-de-France","75","Paris","08A","Ordures ménagères résiduelles",841716,2234105,376.76
"2009","11","Ile-de-France","75","Paris","08B","Emballages, journaux-magazines",81195,2234105,36.34
"2009","11","Ile-de-France","75","Paris","08C","Verre",62001,2234105,27.75
"2009","11","Ile-de-France","77","Seine-et-Marne","08A","Ordures ménagères résiduelles",401748.36,1313414,305.88
"2009","11","Ile-de-France","77","Seine-et-Marne","08B","Emballages, journaux-magazines",52744.3,1313414,40.16
"2009","11","Ile-de-France","77","Seine-et-Marne","08C","Verre",32485.25,1313414,24.73
"2009","11","Ile-de-France","78","Yvelines","08A","Ordures ménagères résiduelles",382877.98,1407560,272.02
"2009","11","Ile-de-France","78","Yvelines","08B","Emballages, journaux-magazines",61021.9,1407560,43.35
"2009","11","Ile-de-France","78","Yvelines","08C","Verre",34559.8,1407560,24.55
"2009","11","Ile-de-France","91","Essonne","08A","Ordures ménagères résiduelles",341958.91,1208004,283.08
"2009","11","Ile-de-France","91","Essonne","08B","Emballages, journaux-magazines",49475.92,1208004,40.96
"2009","11","Ile-de-France","91","Essonne","08C","Verre",26138.55,1208004,21.64
"2009","11","Ile-de-France","92","Hauts-de-seine","08A","Ordures ménagères résiduelles",488118.44,1561745,312.55
"2009","11","Ile-de-France","92","Hauts-de-seine","08B","Emballages, journaux-magazines",50732.47,1561745,32.48
"2009","11","Ile-de-France","92","Hauts-de-seine","08C","Verre",29256.13,1561745,18.73
"2009","11","Ile-de-France","93","Seine-Saint-Denis","08A","Ordures ménagères résiduelles",491161.3,1515983,323.99
"2009","11","Ile-de-France","93","Seine-Saint-Denis","08B","Emballages, journaux-magazines",36611.23,1515983,24.15
"2009","11","Ile-de-France","93","Seine-Saint-Denis","08C","Verre",16496.42,1515983,10.88
"2009","11","Ile-de-France","94","Val-de-Marne","08A","Ordures ménagères résiduelles",387397.51,1318537,293.81
"2009","11","Ile-de-France","94","Val-de-Marne","08B","Emballages, journaux-magazines",44114.97,1318537,33.46
"2009","11","Ile-de-France","94","Val-de-Marne","08C","Verre",22604.03,1318537,17.14
"2009","11","Ile-de-France","95","Val-d'Oise","08A","Ordures ménagères résiduelles",362908.32,1168892,310.47
"2009","11","Ile-de-France","95","Val-d'Oise","08B","Emballages, journaux-magazines",39218.12,1168892,33.55
"2009","11","Ile-de-France","95","Val-d'Oise","08C","Verre",21443.55,1168892,18.35
"2009","28","Normandie","14","Calvados","08A","Ordures ménagères résiduelles",211650.49,680908,310.84
"2009","28","Normandie","14","Calvados","08B","Emballages, journaux-magazines",34710.33,680908,50.98
"2009","28","Normandie","14","Calvados","08C","Verre",23729.81,680908,34.85
"2009","28","Normandie","27","Eure","08A","Ordures ménagères résiduelles",167151.83,582822,286.8
"2009","28","Normandie","27","Eure","08B","Emballages, journaux-magazines",23927.73,582822,41.05
"2009","28","Normandie","27","Eure","08C","Verre",17999.71,582822,30.88
"2009","28","Normandie","50","Manche","08A","Ordures ménagères résiduelles",137505.18,497762,276.25
"2009","28","Normandie","50","Manche","08B","Emballages, journaux-magazines",29742.49,497762,59.75
"2009","28","Normandie","50","Manche","08C","Verre",22646.72,497762,45.5
"2009","28","Normandie","61","Orne","08A","Ordures ménagères résiduelles",77695,292210,265.89
"2009","28","Normandie","61","Orne","08B","Emballages, journaux-magazines",11966.62,292210,40.95
"2009","28","Normandie","61","Orne","08C","Verre",10001.45,292210,34.23
"2009","28","Normandie","76","Seine-Maritime","08A","Ordures ménagères résiduelles",392610.41,1250120,314.06
"2009","28","Normandie","76","Seine-Maritime","08B","Emballages, journaux-magazines",52903.47,1250120,42.32
"2009","28","Normandie","76","Seine-Maritime","08C","Verre",34739.61,1250120,27.79
"2009","28","Normandie","76","Seine-Maritime","08D","Déchets de produits alimentaires",3078,1250120,2.46
"2009","75","Nouvelle-Aquitaine","16","Charente","08A","Ordures ménagères résiduelles",81491.9,351563,231.8
"2009","75","Nouvelle-Aquitaine","16","Charente","08B","Emballages, journaux-magazines",21075.9,351563,59.95
"2009","75","Nouvelle-Aquitaine","16","Charente","08C","Verre",11827,351563,33.64
"2009","75","Nouvelle-Aquitaine","17","Charente-Maritime","08A","Ordures ménagères résiduelles",204587.63,616607,331.8
"2009","75","Nouvelle-Aquitaine","17","Charente-Maritime","08B","Emballages, journaux-magazines",35957.55,616607,58.32
"2009","75","Nouvelle-Aquitaine","17","Charente-Maritime","08C","Verre",28796.39,616607,46.7
"2009","75","Nouvelle-Aquitaine","19","Corrèze","08A","Ordures ménagères résiduelles",74748.88,243352,307.16
"2009","75","Nouvelle-Aquitaine","19","Corrèze","08B","Emballages, journaux-magazines",7569.31,243352,31.1
"2009","75","Nouvelle-Aquitaine","19","Corrèze","08C","Verre",6713.27,243352,27.59
"2009","75","Nouvelle-Aquitaine","23","Creuse","08A","Ordures ménagères résiduelles",30897.74,123584,250.01
"2009","75","Nouvelle-Aquitaine","23","Creuse","08B","Emballages, journaux-magazines",6424.01,123584,51.98
"2009","75","Nouvelle-Aquitaine","23","Creuse","08C","Verre",4388.44,123584,35.51
"2009","75","Nouvelle-Aquitaine","24","Dordogne","08A","Ordures ménagères résiduelles",117414.83,412082,284.93
"2009","75","Nouvelle-Aquitaine","24","Dordogne","08B","Emballages, journaux-magazines",16880.22,412082,40.96
"2009","75","Nouvelle-Aquitaine","24","Dordogne","08C","Verre",15216.57,412082,36.93
"2009","75","Nouvelle-Aquitaine","33","Gironde","08A","Ordures ménagères résiduelles",400971.77,1434661,279.49
"2009","75","Nouvelle-Aquitaine","33","Gironde","08B","Emballages, journaux-magazines",77881.09,1434661,54.29
"2009","75","Nouvelle-Aquitaine","33","Gironde","08C","Verre",42955.54,1434661,29.94
"2009","75","Nouvelle-Aquitaine","40","Landes","08A","Ordures ménagères résiduelles",131554.13,379341,346.8
"2009","75","Nouvelle-Aquitaine","40","Landes","08B","Emballages, journaux-magazines",16119.09,379341,42.49
"2009","75","Nouvelle-Aquitaine","40","Landes","08C","Verre",12750.44,379341,33.61
"2009","75","Nouvelle-Aquitaine","47","Lot-et-Garonne","08A","Ordures ménagères résiduelles",95185.44,329697,288.71
"2009","75","Nouvelle-Aquitaine","47","Lot-et-Garonne","08B","Emballages, journaux-magazines",15837.56,329697,48.04
"2009","75","Nouvelle-Aquitaine","47","Lot-et-Garonne","08C","Verre",9484.75,329697,28.77
"2009","75","Nouvelle-Aquitaine","64","Pyrénées-Atlantiques","08A","Ordures ménagères résiduelles",187179.87,650356,287.81
"2009","75","Nouvelle-Aquitaine","64","Pyrénées-Atlantiques","08B","Emballages, journaux-magazines",27935.17,650356,42.95
"2009","75","Nouvelle-Aquitaine","64","Pyrénées-Atlantiques","08C","Verre",20264.75,650356,31.16
"2009","75","Nouvelle-Aquitaine","79","Deux-Sèvres","08A","Ordures ménagères résiduelles",77704.42,366339,212.11
"2009","75","Nouvelle-Aquitaine","79","Deux-Sèvres","08B","Emballages, journaux-magazines",17688.71,366339,48.29
"2009","75","Nouvelle-Aquitaine","79","Deux-Sèvres","08C","Verre",13666.97,366339,37.31
"2009","75","Nouvelle-Aquitaine","79","Deux-Sèvres","08D","Déchets de produits alimentaires",68,366339,0.19
"2009","75","Nouvelle-Aquitaine","86","Vienne","08A","Ordures ménagères résiduelles",99488.28,426066,233.5
"2009","75","Nouvelle-Aquitaine","86","Vienne","08B","Emballages, journaux-magazines",20495.6,426066,48.1
"2009","75","Nouvelle-Aquitaine","86","Vienne","08C","Verre",16808.46,426066,39.45
"2009","75","Nouvelle-Aquitaine","87","Haute-Vienne","08A","Ordures ménagères résiduelles",93524.67,374849,249.5
"2009","75","Nouvelle-Aquitaine","87","Haute-Vienne","08B","Emballages, journaux-magazines",21183.11,374849,56.51
"2009","75","Nouvelle-Aquitaine","87","Haute-Vienne","08C","Verre",11144.74,374849,29.73
"2009","76","Occitanie","09","Ariège","08A","Ordures ménagères résiduelles",48291.87,151117,319.57
"2009","76","Occitanie","09","Ariège","08B","Emballages, journaux-magazines",6937,151117,45.9
"2009","76","Occitanie","09","Ariège","08C","Verre",4542.39,151117,30.06
"2009","76","Occitanie","11","Aude","08A","Ordures ménagères résiduelles",128282.99,353980,362.4
"2009","76","Occitanie","11","Aude","08B","Emballages, journaux-magazines",14220.42,353980,40.17
"2009","76","Occitanie","11","Aude","08C","Verre",10795.23,353980,30.5
"2009","76","Occitanie","12","Aveyron","08A","Ordures ménagères résiduelles",67132.45,277048,242.31
"2009","76","Occitanie","12","Aveyron","08B","Emballages, journaux-magazines",16911.58,277048,61.04
"2009","76","Occitanie","12","Aveyron","08C","Verre",8428.06,277048,30.42
"2009","76","Occitanie","30","Gard","08A","Ordures ménagères résiduelles",213229.21,701883,303.8
"2009","76","Occitanie","30","Gard","08B","Emballages, journaux-magazines",31843.06,701883,45.37
"2009","76","Occitanie","30","Gard","08C","Verre",19127.34,701883,27.25
"2009","76","Occitanie","31","Haute-Garonne","08A","Ordures ménagères résiduelles",351304.41,1230820,285.42
"2009","76","Occitanie","31","Haute-Garonne","08B","Emballages, journaux-magazines",53942.19,1230820,43.83
"2009","76","Occitanie","31","Haute-Garonne","08C","Verre",31545.62,1230820,25.63
"2009","76","Occitanie","32","Gers","08A","Ordures ménagères résiduelles",48686.72,187181,260.11
"2009","76","Occitanie","32","Gers","08B","Emballages, journaux-magazines",8554.69,187181,45.7
"2009","76","Occitanie","32","Gers","08C","Verre",6469.18,187181,34.56
"2009","76","Occitanie","34","Hérault","08A","Ordures ménagères résiduelles",356205.55,1031974,345.17
"2009","76","Occitanie","34","Hérault","08B","Emballages, journaux-magazines",48849.41,1031974,47.34
"2009","76","Occitanie","34","Hérault","08C","Verre",27109.42,1031974,26.27
"2009","76","Occitanie","34","Hérault","08D","Déchets de produits alimentaires",8885,1031974,8.61
"2009","76","Occitanie","46","Lot","08A","Ordures ménagères résiduelles",43547.2,173562,250.9
"2009","76","Occitanie","46","Lot","08B","Emballages, journaux-magazines",14411.58,173562,83.03
